alcaldia_catalogo,franja,dia_semana,mes,quincena,finde,trimestre,prob_bajo,prob_medio,prob_alto,nivel_riesgo,nivel_codigo,indice_riesgo
Azcapotzalco,Tarde (12-17),Martes,3,1,0,1,0.1265,0.4929,0.3806,Medio,1,62.7
Azcapotzalco,Madrugada (00-05),Miércoles,3,0,0,1,0.8465,0.1438,0.0097,Bajo,0,8.2
Azcapotzalco,Madrugada (00-05),Miércoles,3,1,0,1,0.835,0.1552,0.0098,Bajo,0,8.7
Azcapotzalco,Mañana (06-11),Miércoles,3,0,0,1,0.2597,0.4722,0.2681,Medio,1,50.4
Azcapotzalco,Mañana (06-11),Miércoles,3,1,0,1,0.2397,0.499,0.2614,Medio,1,51.1
Azcapotzalco,Noche (18-23),Miércoles,3,0,0,1,0.202,0.5408,0.2572,Medio,1,52.8
Azcapotzalco,Noche (18-23),Miércoles,3,1,0,1,0.1849,0.5713,0.2438,Medio,1,52.9
Azcapotzalco,Tarde (12-17),Miércoles,3,0,0,1,0.1692,0.4303,0.4005,Medio,1,61.6
Azcapotzalco,Tarde (12-17),Miércoles,3,1,0,1,0.1611,0.4436,0.3954,Medio,1,61.7
Azcapotzalco,Madrugada (00-05),Sábado,3,0,1,1,0.4059,0.4774,0.1167,Medio,1,35.5
Azcapotzalco,Madrugada (00-05),Sábado,3,1,1,1,0.376,0.5133,0.1107,Medio,1,36.7
Azcapotzalco,Mañana (06-11),Sábado,3,0,1,1,0.3523,0.4768,0.1709,Medio,1,40.9
Azcapotzalco,Mañana (06-11),Sábado,3,1,1,1,0.311,0.547,0.142,Medio,1,41.6
Azcapotzalco,Noche (18-23),Sábado,3,0,1,1,0.1898,0.5153,0.2949,Medio,1,55.3
Azcapotzalco,Noche (18-23),Sábado,3,1,1,1,0.1846,0.5347,0.2807,Medio,1,54.8
Azcapotzalco,Tarde (12-17),Sábado,3,0,1,1,0.1539,0.4636,0.3825,Medio,1,61.4
Azcapotzalco,Tarde (12-17),Sábado,3,1,1,1,0.1283,0.5243,0.3474,Medio,1,61.0
Azcapotzalco,Madrugada (00-05),Viernes,3,0,0,1,0.7362,0.2441,0.0197,Bajo,0,14.2
Azcapotzalco,Madrugada (00-05),Viernes,3,1,0,1,0.7033,0.2786,0.0181,Bajo,0,15.7
Azcapotzalco,Mañana (06-11),Viernes,3,0,0,1,0.2969,0.4666,0.2365,Medio,1,47.0
Azcapotzalco,Mañana (06-11),Viernes,3,1,0,1,0.2598,0.5388,0.2014,Medio,1,47.1
Azcapotzalco,Noche (18-23),Viernes,3,0,0,1,0.1096,0.4125,0.4779,Alto,2,68.4
Azcapotzalco,Noche (18-23),Viernes,3,1,0,1,0.1137,0.4699,0.4163,Medio,1,65.1
Azcapotzalco,Tarde (12-17),Viernes,3,0,0,1,0.1301,0.4161,0.4539,Alto,2,66.2
Azcapotzalco,Tarde (12-17),Viernes,3,1,0,1,0.135,0.4884,0.3766,Medio,1,62.1
Azcapotzalco,Madrugada (00-05),Domingo,4,0,1,2,0.3595,0.5305,0.1099,Medio,1,37.5
Azcapotzalco,Madrugada (00-05),Domingo,4,1,1,2,0.3612,0.5194,0.1195,Medio,1,37.9
Azcapotzalco,Mañana (06-11),Domingo,4,0,1,2,0.4212,0.4859,0.0928,Medio,1,33.6
Azcapotzalco,Mañana (06-11),Domingo,4,1,1,2,0.4093,0.4882,0.1025,Medio,1,34.7
Azcapotzalco,Noche (18-23),Domingo,4,0,1,2,0.1811,0.5755,0.2434,Medio,1,53.1
Azcapotzalco,Noche (18-23),Domingo,4,1,1,2,0.1791,0.5508,0.2701,Medio,1,54.6
Azcapotzalco,Tarde (12-17),Domingo,4,0,1,2,0.186,0.6054,0.2086,Medio,1,51.1
Azcapotzalco,Tarde (12-17),Domingo,4,1,1,2,0.186,0.5765,0.2374,Medio,1,52.6
Azcapotzalco,Madrugada (00-05),Jueves,4,0,0,2,0.7956,0.1932,0.0113,Bajo,0,10.8
Azcapotzalco,Madrugada (00-05),Jueves,4,1,0,2,0.8003,0.1873,0.0125,Bajo,0,10.6
Azcapotzalco,Mañana (06-11),Jueves,4,0,0,2,0.2926,0.5264,0.181,Medio,1,44.4
Azcapotzalco,Mañana (06-11),Jueves,4,1,0,2,0.2781,0.5133,0.2087,Medio,1,46.5
Azcapotzalco,Noche (18-23),Jueves,4,0,0,2,0.164,0.5679,0.2681,Medio,1,55.2
Azcapotzalco,Noche (18-23),Jueves,4,1,0,2,0.1571,0.5445,0.2985,Medio,1,57.1
Azcapotzalco,Tarde (12-17),Jueves,4,0,0,2,0.1601,0.5659,0.274,Medio,1,55.7
Azcapotzalco,Tarde (12-17),Jueves,4,1,0,2,0.1849,0.5017,0.3135,Medio,1,56.4
Azcapotzalco,Madrugada (00-05),Lunes,4,0,0,2,0.7861,0.2002,0.0137,Bajo,0,11.4
Azcapotzalco,Madrugada (00-05),Lunes,4,1,0,2,0.7713,0.2142,0.0145,Bajo,0,12.2
Azcapotzalco,Mañana (06-11),Lunes,4,0,0,2,0.3497,0.4783,0.172,Medio,1,41.1
Azcapotzalco,Mañana (06-11),Lunes,4,1,0,2,0.3123,0.5107,0.177,Medio,1,43.2
Azcapotzalco,Noche (18-23),Lunes,4,0,0,2,0.2286,0.5394,0.232,Medio,1,50.2
Azcapotzalco,Noche (18-23),Lunes,4,1,0,2,0.2296,0.5329,0.2375,Medio,1,50.4
Azcapotzalco,Tarde (12-17),Lunes,4,0,0,2,0.1561,0.4765,0.3674,Medio,1,60.6
Azcapotzalco,Tarde (12-17),Lunes,4,1,0,2,0.1492,0.4787,0.3721,Medio,1,61.1
Azcapotzalco,Madrugada (00-05),Martes,4,0,0,2,0.862,0.13,0.0081,Bajo,0,7.3
Azcapotzalco,Madrugada (00-05),Martes,4,1,0,2,0.8564,0.1341,0.0094,Bajo,0,7.7
Azcapotzalco,Mañana (06-11),Martes,4,0,0,2,0.2851,0.5245,0.1904,Medio,1,45.3
Azcapotzalco,Mañana (06-11),Martes,4,1,0,2,0.2476,0.5334,0.219,Medio,1,48.6
Azcapotzalco,Noche (18-23),Martes,4,0,0,2,0.1986,0.571,0.2304,Medio,1,51.6
Azcapotzalco,Noche (18-23),Martes,4,1,0,2,0.1693,0.583,0.2477,Medio,1,53.9
Azcapotzalco,Tarde (12-17),Martes,4,0,0,2,0.172,0.5117,0.3163,Medio,1,57.2
Azcapotzalco,Tarde (12-17),Martes,4,1,0,2,0.1437,0.5126,0.3437,Medio,1,60.0
Azcapotzalco,Madrugada (00-05),Miércoles,4,0,0,2,0.839,0.1514,0.0096,Bajo,0,8.5
Azcapotzalco,Madrugada (00-05),Miércoles,4,1,0,2,0.837,0.1528,0.0102,Bajo,0,8.7
Azcapotzalco,Mañana (06-11),Miércoles,4,0,0,2,0.2956,0.4874,0.217,Medio,1,46.1
Azcapotzalco,Mañana (06-11),Miércoles,4,1,0,2,0.2746,0.4999,0.2254,Medio,1,47.5
Azcapotzalco,Noche (18-23),Miércoles,4,0,0,2,0.1664,0.5787,0.2549,Medio,1,54.4
Azcapotzalco,Noche (18-23),Miércoles,4,1,0,2,0.1629,0.5752,0.2619,Medio,1,54.9
Azcapotzalco,Tarde (12-17),Miércoles,4,0,0,2,0.1707,0.5027,0.3266,Medio,1,57.8
Azcapotzalco,Tarde (12-17),Miércoles,4,1,0,2,0.1674,0.4883,0.3443,Medio,1,58.8
Azcapotzalco,Madrugada (00-05),Sábado,4,0,1,2,0.399,0.5032,0.0978,Medio,1,34.9
Azcapotzalco,Madrugada (00-05),Sábado,4,1,1,2,0.4034,0.4908,0.1058,Medio,1,35.1
Azcapotzalco,Mañana (06-11),Sábado,4,0,1,2,0.3795,0.4671,0.1534,Medio,1,38.7
Azcapotzalco,Mañana (06-11),Sábado,4,1,1,2,0.3592,0.4953,0.1456,Medio,1,39.3
Azcapotzalco,Noche (18-23),Sábado,4,0,1,2,0.1682,0.5738,0.258,Medio,1,54.5
Azcapotzalco,Noche (18-23),Sábado,4,1,1,2,0.1819,0.5314,0.2867,Medio,1,55.2
Azcapotzalco,Tarde (12-17),Sábado,4,0,1,2,0.1588,0.5271,0.3142,Medio,1,57.8
Azcapotzalco,Tarde (12-17),Sábado,4,1,1,2,0.1556,0.5144,0.3301,Medio,1,58.7
Azcapotzalco,Madrugada (00-05),Viernes,4,0,0,2,0.717,0.2647,0.0183,Bajo,0,15.1
Azcapotzalco,Madrugada (00-05),Viernes,4,1,0,2,0.6962,0.2852,0.0187,Bajo,0,16.1
Azcapotzalco,Mañana (06-11),Viernes,4,0,0,2,0.3312,0.4863,0.1826,Medio,1,42.6
Azcapotzalco,Mañana (06-11),Viernes,4,1,0,2,0.2893,0.5424,0.1682,Medio,1,43.9
Azcapotzalco,Noche (18-23),Viernes,4,0,0,2,0.0977,0.4696,0.4327,Medio,1,66.8
Azcapotzalco,Noche (18-23),Viernes,4,1,0,2,0.1026,0.4823,0.4151,Medio,1,65.6
Azcapotzalco,Tarde (12-17),Viernes,4,0,0,2,0.1281,0.5219,0.35,Medio,1,61.1
Azcapotzalco,Tarde (12-17),Viernes,4,1,0,2,0.1304,0.5372,0.3324,Medio,1,60.1
Azcapotzalco,Madrugada (00-05),Domingo,5,0,1,2,0.3453,0.5254,0.1293,Medio,1,39.2
Azcapotzalco,Madrugada (00-05),Domingo,5,1,1,2,0.3468,0.5198,0.1334,Medio,1,39.3
Azcapotzalco,Mañana (06-11),Domingo,5,0,1,2,0.3995,0.5022,0.0983,Medio,1,34.9
Azcapotzalco,Mañana (06-11),Domingo,5,1,1,2,0.3904,0.5093,0.1003,Medio,1,35.5
Azcapotzalco,Noche (18-23),Domingo,5,0,1,2,0.1777,0.5504,0.2719,Medio,1,54.7
Azcapotzalco,Noche (18-23),Domingo,5,1,1,2,0.1786,0.5464,0.275,Medio,1,54.8
Azcapotzalco,Tarde (12-17),Domingo,5,0,1,2,0.1665,0.5935,0.24,Medio,1,53.7
Azcapotzalco,Tarde (12-17),Domingo,5,1,1,2,0.1685,0.5762,0.2553,Medio,1,54.3
Azcapotzalco,Madrugada (00-05),Jueves,5,0,0,2,0.7859,0.2016,0.0125,Bajo,0,11.3
Azcapotzalco,Madrugada (00-05),Jueves,5,1,0,2,0.7929,0.1941,0.013,Bajo,0,11.0
Azcapotzalco,Mañana (06-11),Jueves,5,0,0,2,0.2694,0.5299,0.2006,Medio,1,46.6
Azcapotzalco,Mañana (06-11),Jueves,5,1,0,2,0.2626,0.5189,0.2185,Medio,1,47.8
Azcapotzalco,Noche (18-23),Jueves,5,0,0,2,0.1557,0.5573,0.287,Medio,1,56.6
Azcapotzalco,Noche (18-23),Jueves,5,1,0,2,0.1579,0.5493,0.2927,Medio,1,56.7
Azcapotzalco,Tarde (12-17),Jueves,5,0,0,2,0.1357,0.5769,0.2874,Medio,1,57.6
Azcapotzalco,Tarde (12-17),Jueves,5,1,0,2,0.1617,0.5199,0.3184,Medio,1,57.8
Azcapotzalco,Madrugada (00-05),Lunes,5,0,0,2,0.763,0.2227,0.0144,Bajo,0,12.6
